timestamp,gameloop_pid,gameloop_cpu_pct,gameloop_ram_mb,gameloop_threads,system_cpu_pct,system_ram_pct,system_ram_used_mb,gpu_utilization_pct,gpu_temperature_c,gpu_vram_used_mb,gpu_power_w,gpu_clock_mhz
2026-09-19T12:35:38.765113+00:00,26592,8.39,1446.77,146,19.4,86.5,14135.34,17.0,61.0,2106.0,46.36,1365.0
2026-09-19T12:35:41.046986+00:00,26592,10.08,1447.61,146,26.0,85.8,14010.57,17.0,61.0,2088.0,46.04,1365.0
2026-09-19T12:38:20.242790+00:00,26592,8.08,1449.64,146,29.8,85.4,13956.68,17.0,61.0,2065.0,46.26,1365.0
2026-09-19T12:38:22.495330+00:00,26592,8.96,1448.39,146,8.3,85.4,13949.58,17.0,61.0,2073.0,46.88,1365.0
2026-09-19T12:38:24.463792+00:00,18376,0.59,438.16,98,53.5,85.8,14007.16,15.0,60.0,2165.0,42.34,1365.0
2026-09-19T12:38:26.204122+00:00,18376,1.73,438.07,96,6.9,65.2,10647.91,1.0,60.0,2115.0,42.54,1365.0
2026-09-19T12:38:27.850188+00:00,2796,0.0,10.18,2,4.2,62.6,10225.56,1.0,60.0,1236.0,41.38,1365.0
2026-09-19T12:38:29.480535+00:00,2796,0.0,10.18,2,3.6,62.5,10203.72,1.0,60.0,1236.0,41.58,1365.0
2026-09-19T12:38:31.294686+00:00,2796,0.0,10.18,2,2.5,62.2,10162.65,2.0,60.0,1239.0,41.56,1365.0
2026-09-19T12:38:32.946857+00:00,2796,0.0,10.18,2,0.0,62.6,10227.92,1.0,60.0,1236.0,41.91,1365.0
2026-09-19T12:38:34.587920+00:00,2796,0.0,10.18,2,1.2,62.7,10234.61,1.0,60.0,1236.0,41.46,1365.0
2026-09-19T12:38:36.221237+00:00,2796,0.0,10.18,2,13.9,62.6,10220.12,0.0,60.0,1237.0,41.34,1365.0
